order,ID,Post ID,Title,Published,Updated,Note
,,,1968 Notebook,,,
,1147,11846,A Winter's Revelation (In 9 Illusions),2019-08-13 12:00:00,2019-08-13 12:21:39,
,854,6806,Clouds,2019-01-05 13:00:53,2021-06-07 12:27:04,
,587,2111,Crystal,2018-05-11 12:00:21,2019-04-13 22:50:33,
,1107,10934,Death of a Good Man,2019-07-07 12:00:00,2019-12-07 11:38:46,
,704,3909,For Never Asking,2018-08-24 12:00:25,2021-06-07 12:27:49,
,1978,26455,Love Cycle,2021-04-27 12:00:00,2021-04-27 02:16:13,
,1632,21116,Mississippi,2020-09-22 12:00:00,2020-09-19 18:36:58,
,1216,13439,New York Morning Love,2019-10-23 12:00:00,2019-10-26 00:36:11,
,797,5526,Oh No No No,2018-11-13 13:00:26,2023-01-01 16:03:36,
,1593,19806,Phantom Love (Just 16),2020-08-19 12:00:00,2020-08-16 18:13:52,
,762,4888,Slum Sentiments,2018-10-12 11:27:07,2019-04-14 22:37:47,
,2473,36532,Sun Time,2022-08-02 12:00:00,2022-08-02 12:13:30,
,1572,19175,The Fire Engines Are Returning Home,2020-07-31 11:10:00,2020-07-31 11:12:27,
,2435,27324,The Virgin Flower,2022-05-22 12:00:00,2022-05-22 06:07:51,
,1879,24471,The War Song,2021-01-27 13:00:00,2021-01-27 01:35:05,
,1829,23072,The Window,2020-12-21 13:00:00,2020-12-21 14:36:48,
,649,2972,Turn Around,2018-07-09 12:00:19,2019-04-14 17:18:14,
,560,1762,Until the Rain Comes,2018-04-22 12:00:17,2019-04-13 21:04:23,
,2023,27621,Upon This Day (Eurydice),2021-06-07 12:00:00,2021-06-07 12:22:22,
,1388,15838,Vaginal Vandals,2020-02-19 13:00:00,2020-02-20 18:14:58,
,,,CASTILES (1965-1968),,,
,1691,22772,Look Into My Window,2020-11-09 13:00:00,2020-11-09 12:24:43,
,883,7288,Mr. Jones,2019-02-01 13:00:41,2024-01-02 01:57:34,
,1284,14435,That's What You Get,2019-11-30 13:00:00,2019-11-30 13:11:48,
,839,6268,Baby I,2018-12-20 07:37:26,2020-10-24 03:59:59,"Released on Chapter and Verse, can include here"
,,,CHILD (1969),,,
,505,1009,KT-88,2018-03-12 12:00:00,2024-01-01 22:41:37,
,1381,15953,Sister Theresa,2020-02-14 13:00:00,2021-12-20 00:49:00,
,,,STEEL MILL (1970),,,
,1859,24435,America Under Fire,2021-01-07 13:00:00,2021-01-07 14:30:55,
,457,451,Black Sun Rising,2018-01-27 20:30:49,2019-04-13 17:23:57,
,1169,12476,Changing Children,2019-09-04 12:00:00,2020-12-15 16:02:49,
,817,6175,Garden State Parkway Blues,2018-11-30 13:00:16,2023-01-01 16:21:05,
,2037,28158,Girlfriend Blues,2021-06-21 12:00:00,2021-06-21 12:33:28,
,917,7786,Goin' Back to Georgia,2019-03-07 13:00:00,2019-04-15 05:17:36,
,1021,9382,Goin' Down Slow,2019-04-20 12:00:00,2024-01-02 02:20:59,
,1084,10475,Good Lovin' Woman,2019-06-17 12:00:00,2019-06-18 02:05:57,
,1548,19185,He's Guilty (The Judge Song),2020-07-10 12:00:00,2020-07-10 12:08:33,"Released on Chapter and Verse, can include here"
,1946,26078,I Am the Doctor,2021-03-31 12:00:00,2021-03-31 12:06:35,
,1250,14215,I Can't Take It No More,2019-11-20 13:00:00,2019-11-24 00:41:45,
,1123,10928,I Gotta Be Free,2019-07-20 12:00:00,2019-07-20 19:58:48,
,1252,13617,"Jeannie, I Want to Thank You",2019-11-22 11:35:00,2019-11-22 12:54:29,
,636,2696,Lady Walking Down by the River,2018-06-27 12:00:19,2019-04-14 16:40:45,
,742,4530,Mary Louise Watson,2018-09-27 12:00:03,2019-04-14 22:25:52,
,2506,38923,Oh Mama,2022-10-28 12:30:00,2024-01-04 00:15:44,
,1093,10636,Resurrection,2019-06-26 12:00:00,2019-06-26 12:09:06,
,735,4448,Sherlock Goes Home,2018-09-21 12:00:19,2025-07-18 19:53:50,
,2056,28156,Sweet Melinda,2021-08-03 12:00:00,2021-08-03 02:48:07,
,2127,30465,Temporarily Out of Order,2021-10-26 12:00:00,2021-10-26 02:39:51,
,1671,21638,The Ballad of Jesse James,2020-10-22 12:00:00,2020-10-22 03:51:27,"Released on Chapter and Verse, can include here"
,2112,29631,The Train Song,2021-10-06 12:00:00,2021-10-06 12:40:18,
,939,7886,The War is Over,2019-03-23 12:00:00,2019-04-15 11:56:58,
,2116,29315,The Wind and the Rain,2021-10-10 12:00:00,2021-10-10 12:33:59,
,2167,30866,Twenty More Miles,2021-12-03 13:00:00,2024-01-03 05:29:28,
,1957,25935,We'll All Man the Guns,2021-04-07 12:00:00,2021-04-07 12:20:04,
,870,6937,We've Got to Do It Now,2019-01-20 13:00:48,2019-12-02 18:09:54,
,1542,19325,Where Was Jesus in Ohio,2020-07-06 12:00:00,2020-07-06 12:11:11,
,2379,33061,Why'd You Do That,2022-03-08 13:00:00,2022-03-08 02:56:24,
,,,DR ZOOM (1971),,,
,774,5126,Jumbeliah,2018-10-22 12:00:58,2019-11-30 13:17:07,
,1602,29802,Lady of Boston,2021-11-02 12:00:00,2021-11-02 13:14:05,
,2135,20798,Southside Shuffle,2020-08-25 12:00:00,2020-08-25 01:57:33,
,,,BRUCE SPRINGSTEEN BAND (1971-72?),,,
,1971,26260,All I Want to Do Is Dance,2021-04-20 12:00:00,2021-04-19 23:32:13,
,2442,35514,Bless My Soul,2022-06-11 12:00:00,2024-01-03 23:40:01,
,2359,27718,Cherokee Queen,2022-02-12 13:00:00,2022-02-12 02:04:53,
,1556,19669,Coming Home,2020-07-18 12:00:00,2020-12-25 15:20:50,
,630,2779,"Dance, Dance, Dance",2018-06-22 12:00:11,2019-04-14 16:27:44,
,2074,28463,Do It With a Feeling,2021-08-28 12:00:00,2021-08-28 13:29:37,
,1924,25806,Down to Mexico,2021-03-10 13:00:00,2021-03-10 14:36:27,
,2121,30275,Down to the Riverside,2021-10-15 12:00:00,2024-01-03 05:18:13,
,575,1917,Funk Song,2018-05-02 12:00:56,2019-04-13 22:35:11,
,2030,27895,"I Got to Have You, Baby",2021-06-13 12:00:00,2021-06-13 12:48:23,
,579,1995,I Just Can't Change,2018-05-05 12:00:00,2020-11-28 20:56:26,
,1496,18395,I'm in Love Again,2020-05-23 12:00:00,2020-12-23 16:02:20,
,610,2417,It's Time to Go Home,2018-05-31 12:00:56,2024-01-01 23:12:32,
,1781,23376,Last Night in Tulsa,2020-12-10 13:00:00,2021-12-21 14:42:42,
,781,5196,Like a Stranger,2018-10-28 12:00:24,2019-04-14 23:26:04,
,2394,33511,Living in Rock and Roll,2022-03-27 12:00:00,2022-03-27 06:13:59,
,828,6209,Look Towards the Land,2018-12-10 13:00:48,2021-12-15 03:23:29,
,1588,20377,Love Is a Crazy Thing,2020-08-12 12:00:00,2023-01-02 00:03:44,
,1991,27152,Magic Kind of Loving,2021-05-10 12:00:00,2021-05-10 12:29:15,
,2095,29684,Make Up Your Mind,2021-09-21 12:00:00,2021-09-21 12:12:39,
,842,6280,Mistress Annie/Sweet Miss Sally,2018-12-22 09:55:34,2024-01-02 00:20:11,
,1492,18297,Natural Magic,2020-05-19 12:00:00,2020-12-23 16:06:52,
,1357,15117,She's a Woman,2020-01-24 13:00:00,2023-01-01 21:06:16,
,415,7315,She's Leaving,2011-01-26 13:00:42,2025-11-16 00:04:31,
,1054,8490,Sometimes at Night,2019-05-22 12:00:00,2019-12-06 05:45:32,
,656,3034,Sure Can Feel the Pain,2018-07-15 12:00:22,2019-04-14 17:30:46,
,3123,52380,Talking About My Baby,2024-07-02 16:00:00,2024-07-02 15:17:42,
,1871,23949,The Band's Just Boppin' the Blues,2021-01-19 13:00:00,2021-01-19 04:43:12,
,686,3659,When You Dance,2018-08-12 12:00:29,2024-01-01 23:36:28,
,893,7404,Why's It So Hard,2019-02-11 13:00:33,2020-07-09 15:47:25,
,1688,22587,You Don't Leave Me No Choice,2020-11-07 13:00:00,2020-11-07 14:13:41,
,1345,15485,You Mean So Much to Me,2020-01-13 13:00:00,2024-01-02 19:23:41,
,,,SOLO (1972?),,,
,410,16061,Family Song,2020-02-23 13:00:00,2023-01-03 21:44:50,
,1394,20495,Lady and the Doctor,2011-01-21 13:00:00,2025-11-16 23:18:09,
,2839,47086,Water Station,2023-12-24 13:30:00,2024-01-04 00:41:46,Highlands 72 One Off? Segued into Baby Please Don’t Go/Saint in the City
